x,y,dist_robot,olf_loglik,olf_post,vis_post,fused,vis_like,observed,mle_class,ev_Cardboard_box,post_Cardboard_box,ev_First_aid_box,post_First_aid_box,ev_Humidifier,post_Humidifier,ev_empty_floor,post_empty_floor
-2.25,1.25,2.24839,-0.57185,0.00551738,0.00240594,0.00310684,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-1.75,0,2.91577,-0.989264,0.0032385,0.00312773,0.00309434,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-2.25,1.5,2.28868,-0.587584,0.00540939,0.00240594,0.00307629,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-1.75,2,2.90932,-0.983624,0.00319654,0.00312773,0.00307423,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-1.25,0,3.38927,-1.48854,0.00153674,0.00446818,0.00304507,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-2.5,2.25,2.3412,-0.609914,0.00524033,0.00240594,0.00302783,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-2,1,2.48549,-0.681876,0.00484239,0.00240594,0.0029106,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-1.75,-0.25,3.01146,-1.07658,0.00286502,0.00312773,0.00291045,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-2,1.25,2.49709,-0.688339,0.00479503,0.00240594,0.00289633,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-2.5,2.5,2.48274,-0.680359,0.004792,0.00240594,0.00289542,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-1.75,2.25,3.00365,-1.06919,0.0028154,0.00312773,0.00288513,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-2,1.5,2.53343,-0.709235,0.00466138,0.00240594,0.00285568,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-2.25,2.25,2.55665,-0.723103,0.00454847,0.00240594,0.00282088,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-2,1.75,2.59347,-0.74593,0.00443715,0.00240594,0.00278615,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-1,0.75,3.49511,-1.6231,0.00123214,0.00446818,0.00272664,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-3.75,1.75,1.04375,-0.695048,0.00636096,0.00195483,0.00271042,0.0112349,True,empty floor,0,0.015625,0,0.015625,0,0.015625,15,0.953125
-4,1.75,0.885539,-0.822477,0.00635818,0.00195483,0.00270983,0.0112349,True,empty floor,0,0.015625,0,0.015625,0,0.015625,15,0.953125
-4,1.5,0.690201,-1.0486,0.00635672,0.00195483,0.00270952,0.0112349,True,empty floor,0,0.015625,0,0.015625,0,0.015625,15,0.953125
-4,2,1.10317,-0.656812,0.0063558,0.00195483,0.00270932,0.0112349,True,empty floor,0,0.015625,0,0.015625,0,0.015625,15,0.953125
-3.75,2,1.23378,-0.58805,0.0063549,0.00195483,0.00270913,0.0112349,True,empty floor,0,0.015625,0,0.015625,0,0.015625,15,0.953125
-3.5,2,1.3973,-0.52753,0.00634314,0.00195483,0.00270662,0.0112349,True,empty floor,0,0.015625,0,0.015625,0,0.015625,15,0.953125
-3.75,2.25,1.44223,-0.515338,0.00633266,0.00195483,0.00270439,0.0112349,True,empty floor,0,0.015625,0,0.015625,0,0.015625,15,0.953125
-4.25,1.5,0.544187,-1.29482,0.00633167,0.00195483,0.00270418,0.0112349,True,empty floor,0,0.015625,0,0.015625,0,0.015625,15,0.953125
-3.5,2.25,1.58438,-0.488296,0.00629906,0.00195483,0.0026972,0.0112349,True,empty floor,0,0.015625,0,0.015625,0,0.015625,15,0.953125
-3.25,2.25,1.75086,-0.477617,0.00621837,0.00195483,0.00267987,0.0112349,True,empty floor,0,0.015625,0,0.015625,0,0.015625,15,0.953125
-2.25,2.5,2.68687,-0.808398,0.00405276,0.00240594,0.00266273,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-1,0.5,3.5225,-1.65928,0.00116749,0.00446818,0.00265414,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-4.25,1.25,0.336658,-1.87302,0.00604477,0.00195483,0.0026422,0.0112349,True,empty floor,0,0.015625,0,0.015625,0,0.015625,15,0.953125
-3.25,2.5,1.93605,-0.490959,0.00604084,0.00195483,0.00264134,0.0112349,True,empty floor,0,0.015625,0,0.015625,0,0.015625,15,0.953125
-1.5,0,3.1515,-1.21677,0.00232646,0.00312773,0.00262267,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-1.75,1,2.73549,-0.843518,0.00392589,0.00240594,0.00262073,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-1.75,1.25,2.74604,-0.851369,0.00387539,0.00240594,0.00260381,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-1.5,2,3.14553,-1.21049,0.00229122,0.00312773,0.00260273,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-3,2.5,2.10441,-0.525515,0.00578392,0.00195483,0.00258456,0.0112349,True,empty floor,0,0.015625,0,0.015625,0,0.015625,15,0.953125
-1.75,1.5,2.77912,-0.876545,0.0037352,0.00240594,0.00255629,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
